InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Invoice_Date
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,4.95,17908.0,United Kingdom,2010-12-01 11:45:00
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,2.1,17908.0,United Kingdom,2010-12-01 11:45:00
536409,21866,UNION JACK FLAG LUGGAGE TAG,1,1.25,17908.0,United Kingdom,2010-12-01 11:45:00
536409,21866,UNION JACK FLAG LUGGAGE TAG,1,1.25,17908.0,United Kingdom,2010-12-01 11:45:00
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95,17908.0,United Kingdom,2010-12-01 11:45:00
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,2.1,17908.0,United Kingdom,2010-12-01 11:45:00
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95,17908.0,United Kingdom,2010-12-01 11:45:00
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,4.95,17908.0,United Kingdom,2010-12-01 11:45:00
536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22273,FELTCRAFT DOLL MOLLY,1,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21448,12 DAISY PEGS IN WOOD BOX,2,1.65,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,3.75,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2.1,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21448,12 DAISY PEGS IN WOOD BOX,1,1.65,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22273,FELTCRAFT DOLL MOLLY,1,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,3.75,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2.1,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22569,FELTCRAFT CUSHION BUTTERFLY,2,3.75,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21448,12 DAISY PEGS IN WOOD BOX,1,1.65,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22569,FELTCRAFT CUSHION BUTTERFLY,2,3.75,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21448,12 DAISY PEGS IN WOOD BOX,2,1.65,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22902,TOTE BAG I LOVE LONDON,7,2.1,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21448,12 DAISY PEGS IN WOOD BOX,2,1.65,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22902,TOTE BAG I LOVE LONDON,7,2.1,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21708,FOLDING UMBRELLA CREAM POLKADOT,1,4.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,4.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21708,FOLDING UMBRELLA CREAM POLKADOT,1,4.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,4.95,17920.0,United Kingdom,2010-12-01 11:49:00
536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1,2.95,17920.0,United Kingdom,2010-12-01 11:49:00
536446,21651,HANGING GLASS ETCHED TEALIGHT,6,1.65,15983.0,United Kingdom,2010-12-01 12:15:00
536446,21651,HANGING GLASS ETCHED TEALIGHT,6,1.65,15983.0,United Kingdom,2010-12-01 12:15:00
536464,21992,VINTAGE PAISLEY STATIONERY SET,1,2.95,17968.0,United Kingdom,2010-12-01 12:23:00
536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,0.85,17968.0,United Kingdom,2010-12-01 12:23:00
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,2.1,17968.0,United Kingdom,2010-12-01 12:23:00
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,2.1,17968.0,United Kingdom,2010-12-01 12:23:00
536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,0.85,17968.0,United Kingdom,2010-12-01 12:23:00
536464,21992,VINTAGE PAISLEY STATIONERY SET,1,2.95,17968.0,United Kingdom,2010-12-01 12:23:00
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,2.1,17968.0,United Kingdom,2010-12-01 12:23:00
536488,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2.55,17897.0,United Kingdom,2010-12-01 12:31:00
536488,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,1,2.55,17897.0,United Kingdom,2010-12-01 12:31:00
536522,21121,SET/10 RED POLKADOT PARTY CANDLES,1,1.25,15012.0,United Kingdom,2010-12-01 12:49:00
536522,21121,SET/10 RED POLKADOT PARTY CANDLES,1,1.25,15012.0,United Kingdom,2010-12-01 12:49:00
536522,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,1.25,15012.0,United Kingdom,2010-12-01 12:49:00
536522,21122,SET/10 PINK POLKADOT PARTY CANDLES,1,1.25,15012.0,United Kingdom,2010-12-01 12:49:00
536528,22865,HAND WARMER OWL DESIGN,1,2.1,15525.0,United Kingdom,2010-12-01 13:17:00
536528,84985A,SET OF 72 GREEN PAPER DOILIES,1,1.45,15525.0,United Kingdom,2010-12-01 13:17:00
536528,85114B,IVORY ENCHANTED FOREST PLACEMAT,1,1.65,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22839,3 TIER CAKE TIN GREEN AND CREAM,1,14.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22584,PACK OF 6 PANNETONE GIFT BOXES,2,2.55,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,1.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22865,HAND WARMER OWL DESIGN,1,2.1,15525.0,United Kingdom,2010-12-01 13:17:00
536528,85114B,IVORY ENCHANTED FOREST PLACEMAT,1,1.65,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22584,PACK OF 6 PANNETONE GIFT BOXES,2,2.55,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22744,MAKE YOUR OWN MONSOON CARD KIT,2,2.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,2.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22911,PAPER CHAIN KIT LONDON,1,2.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22911,PAPER CHAIN KIT LONDON,1,2.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1,2.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22744,MAKE YOUR OWN MONSOON CARD KIT,2,2.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,1.95,15525.0,United Kingdom,2010-12-01 13:17:00
536528,84985A,SET OF 72 GREEN PAPER DOILIES,1,1.45,15525.0,United Kingdom,2010-12-01 13:17:00
536528,22839,3 TIER CAKE TIN GREEN AND CREAM,1,14.95,15525.0,United Kingdom,2010-12-01 13:17:00
536530,22097,SWALLOW SQUARE TISSUE BOX,1,1.25,17905.0,United Kingdom,2010-12-01 13:21:00
536530,22097,SWALLOW SQUARE TISSUE BOX,1,1.25,17905.0,United Kingdom,2010-12-01 13:21:00
536531,21498,RED RETROSPOT WRAP ,25,0.42,15485.0,United Kingdom,2010-12-01 13:23:00
536531,21498,RED RETROSPOT WRAP ,25,0.42,15485.0,United Kingdom,2010-12-01 13:23:00
536551,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95,17346.0,United Kingdom,2010-12-01 14:34:00
536551,22112,CHOCOLATE HOT WATER BOTTLE,1,4.95,17346.0,United Kingdom,2010-12-01 14:34:00
536551,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1,2.95,17346.0,United Kingdom,2010-12-01 14:34:00
536551,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2.95,17346.0,United Kingdom,2010-12-01 14:34:00
536551,22551,PLASTERS IN TIN SPACEBOY,1,1.65,17346.0,United Kingdom,2010-12-01 14:34:00
536551,22551,PLASTERS IN TIN SPACEBOY,1,1.65,17346.0,United Kingdom,2010-12-01 14:34:00
536551,22112,CHOCOLATE HOT WATER BOTTLE,1,4.95,17346.0,United Kingdom,2010-12-01 14:34:00
536551,22895,SET OF 2 TEA TOWELS APPLE AND PEARS,1,2.95,17346.0,United Kingdom,2010-12-01 14:34:00
536557,85232B,SET OF 3 BABUSHKA STACKING TINS,1,4.95,17841.0,United Kingdom,2010-12-01 14:41:00
536557,85232B,SET OF 3 BABUSHKA STACKING TINS,1,4.95,17841.0,United Kingdom,2010-12-01 14:41:00
536559,51014L,"FEATHER PEN,LIGHT PINK",12,0.85,17873.0,United Kingdom,2010-12-01 14:54:00
536559,51014L,"FEATHER PEN,LIGHT PINK",12,0.85,17873.0,United Kingdom,2010-12-01 14:54:00
536562,37446,MINI CAKE STAND WITH HANGING CAKES,8,1.45,13468.0,United Kingdom,2010-12-01 15:08:00
536564,37446,MINI CAKE STAND WITH HANGING CAKES,8,1.45,13468.0,United Kingdom,2010-12-01 15:08:00
536569,22111,SCOTTIE DOG HOT WATER BOTTLE,1,4.95,16274.0,United Kingdom,2010-12-01 15:35:00
536569,22111,SCOTTIE DOG HOT WATER BOTTLE,1,4.95,16274.0,United Kingdom,2010-12-01 15:35:00
536569,21809,CHRISTMAS HANGING TREE WITH BELL,1,1.25,16274.0,United Kingdom,2010-12-01 15:35:00
536569,21809,CHRISTMAS HANGING TREE WITH BELL,1,1.25,16274.0,United Kingdom,2010-12-01 15:35:00
536637,20733,GOLD MINI TAPE MEASURE ,1,0.85,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22867,HAND WARMER BIRD DESIGN,1,2.1,18041.0,United Kingdom,2010-12-02 11:35:00
536637,20733,GOLD MINI TAPE MEASURE ,1,0.85,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22633,HAND WARMER UNION JACK,1,2.1,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22654,DELUXE SEWING KIT ,1,5.95,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22633,HAND WARMER UNION JACK,1,2.1,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22696,WICKER WREATH LARGE,1,1.95,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22867,HAND WARMER BIRD DESIGN,1,2.1,18041.0,United Kingdom,2010-12-02 11:35:00
536637,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,1.25,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22920,HERB MARKER BASIL,1,0.65,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22917,HERB MARKER ROSEMARY,1,0.65,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22917,HERB MARKER ROSEMARY,1,0.65,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22920,HERB MARKER BASIL,1,0.65,18041.0,United Kingdom,2010-12-02 11:35:00
536637,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,1.25,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22696,WICKER WREATH LARGE,1,1.95,18041.0,United Kingdom,2010-12-02 11:35:00
536637,22654,DELUXE SEWING KIT ,1,5.95,18041.0,United Kingdom,2010-12-02 11:35:00
536742,22553,PLASTERS IN TIN SKULLS,1,1.65,16916.0,United Kingdom,2010-12-02 13:14:00
536742,22553,PLASTERS IN TIN SKULLS,1,1.65,16916.0,United Kingdom,2010-12-02 13:14:00
536749,85106,CUT GLASS HEXAGON T-LIGHT HOLDER,2,2.55,17976.0,United Kingdom,2010-12-02 13:49:00
536749,21415,CLAM SHELL SMALL ,2,2.1,17976.0,United Kingdom,2010-12-02 13:49:00
536749,85106,CUT GLASS HEXAGON T-LIGHT HOLDER,2,2.55,17976.0,United Kingdom,2010-12-02 13:49:00
536749,21415,CLAM SHELL SMALL ,2,2.1,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2.1,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22174,PHOTO CUBE,2,1.65,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22371,AIRLINE BAG VINTAGE TOKYO 78,1,4.25,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22174,PHOTO CUBE,2,1.65,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22472,TV DINNER TRAY DOLLY GIRL,1,4.95,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22441,GROW YOUR OWN BASIL IN ENAMEL MUG,1,2.1,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22472,TV DINNER TRAY DOLLY GIRL,1,4.95,17976.0,United Kingdom,2010-12-02 13:49:00
536749,21415,CLAM SHELL SMALL ,2,2.1,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22174,PHOTO CUBE,2,1.65,17976.0,United Kingdom,2010-12-02 13:49:00
536749,22371,AIRLINE BAG VINTAGE TOKYO 78,1,4.25,17976.0,United Kingdom,2010-12-02 13:49:00
536796,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2.1,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22906,12 MESSAGE CARDS WITH ENVELOPES,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21981,PACK OF 12 WOODLAND TISSUES ,1,0.29,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21967,PACK OF 12 SKULL TISSUES,1,0.29,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22952,60 CAKE CASES VINTAGE CHRISTMAS,1,0.55,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22902,TOTE BAG I LOVE LONDON,1,2.1,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21328,BALLOONS  WRITING SET ,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21026,SPACE OWL,1,1.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22376,AIRLINE BAG VINTAGE JET SET WHITE,2,4.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22376,AIRLINE BAG VINTAGE JET SET WHITE,2,4.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22553,PLASTERS IN TIN SKULLS,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21026,SPACE OWL,1,1.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21578,WOODLAND DESIGN  COTTON TOTE BAG,1,2.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22585,PACK OF 6 BIRDY GIFT TAGS,1,1.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,20719,WOODLAND CHARLOTTE BAG,1,0.85,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22585,PACK OF 6 BIRDY GIFT TAGS,1,1.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21982,PACK OF 12 SUKI TISSUES ,1,0.29,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21967,PACK OF 12 SKULL TISSUES,1,0.29,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22906,12 MESSAGE CARDS WITH ENVELOPES,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22553,PLASTERS IN TIN SKULLS,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21967,PACK OF 12 SKULL TISSUES,1,0.29,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21982,PACK OF 12 SUKI TISSUES ,1,0.29,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21981,PACK OF 12 WOODLAND TISSUES ,1,0.29,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21328,BALLOONS  WRITING SET ,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,21578,WOODLAND DESIGN  COTTON TOTE BAG,1,2.25,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22952,60 CAKE CASES VINTAGE CHRISTMAS,1,0.55,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22561,WOODEN SCHOOL COLOURING SET,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22561,WOODEN SCHOOL COLOURING SET,1,1.65,15574.0,United Kingdom,2010-12-02 15:46:00
536796,20719,WOODLAND CHARLOTTE BAG,1,0.85,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2.1,15574.0,United Kingdom,2010-12-02 15:46:00
536796,22902,TOTE BAG I LOVE LONDON,1,2.1,15574.0,United Kingdom,2010-12-02 15:46:00
