InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country,Invoice_Date,day,month,year,hour
536414,22139,,56,0,,United Kingdom,12/1/2010 11:52,1,12,2010,11
536545,21134,,1,0,,United Kingdom,12/1/2010 14:32,1,12,2010,14
536546,22145,,1,0,,United Kingdom,12/1/2010 14:33,1,12,2010,14
536547,37509,,1,0,,United Kingdom,12/1/2010 14:33,1,12,2010,14
536549,85226A,,1,0,,United Kingdom,12/1/2010 14:34,1,12,2010,14
536550,85044,,1,0,,United Kingdom,12/1/2010 14:34,1,12,2010,14
536552,20950,,1,0,,United Kingdom,12/1/2010 14:34,1,12,2010,14
536553,37461,,3,0,,United Kingdom,12/1/2010 14:35,1,12,2010,14
536554,84670,,23,0,,United Kingdom,12/1/2010 14:35,1,12,2010,14
536589,21777,,-10,0,,United Kingdom,12/1/2010 16:50,1,12,2010,16
536764,84952C,,-38,0,,United Kingdom,12/2/2010 14:42,2,12,2010,14
536765,84952C,,19,0,,United Kingdom,12/2/2010 14:43,2,12,2010,14
536941,22734,amazon,20,0,,United Kingdom,12/3/2010 12:08,3,12,2010,12
536942,22139,amazon,15,0,,United Kingdom,12/3/2010 12:08,3,12,2010,12
536995,35951,,57,0,,United Kingdom,12/3/2010 15:29,3,12,2010,15
536996,22712,,-20,0,,United Kingdom,12/3/2010 15:30,3,12,2010,15
536997,22028,,-20,0,,United Kingdom,12/3/2010 15:30,3,12,2010,15
536998,85067,,-6,0,,United Kingdom,12/3/2010 15:30,3,12,2010,15
536999,21421,,110,0,,United Kingdom,12/3/2010 15:32,3,12,2010,15
537000,21414,,-22,0,,United Kingdom,12/3/2010 15:32,3,12,2010,15
537001,21653,,-6,0,,United Kingdom,12/3/2010 15:33,3,12,2010,15
537002,21651,,70,0,,United Kingdom,12/3/2010 15:33,3,12,2010,15
537003,85126,,-2,0,,United Kingdom,12/3/2010 15:33,3,12,2010,15
537004,21814,,-30,0,,United Kingdom,12/3/2010 15:34,3,12,2010,15
537005,21692,,-70,0,,United Kingdom,12/3/2010 15:35,3,12,2010,15
537006,21648,,-130,0,,United Kingdom,12/3/2010 15:36,3,12,2010,15
537007,21172,,-80,0,,United Kingdom,12/3/2010 15:36,3,12,2010,15
537008,21161,,-120,0,,United Kingdom,12/3/2010 15:37,3,12,2010,15
537009,84534B,,-80,0,,United Kingdom,12/3/2010 15:38,3,12,2010,15
537010,22162,,-40,0,,United Kingdom,12/3/2010 15:38,3,12,2010,15
537011,22139,,-5,0,,United Kingdom,12/3/2010 15:38,3,12,2010,15
537012,21535,,-12,0,,United Kingdom,12/3/2010 15:39,3,12,2010,15
537013,35965,,-25,0,,United Kingdom,12/3/2010 15:40,3,12,2010,15
537014,21040,,-20,0,,United Kingdom,12/3/2010 15:40,3,12,2010,15
537015,37464,,-14,0,,United Kingdom,12/3/2010 15:41,3,12,2010,15
537016,21836,,-15,0,,United Kingdom,12/3/2010 15:41,3,12,2010,15
537017,47556B,,-69,0,,United Kingdom,12/3/2010 15:41,3,12,2010,15
537018,84562A,,-3,0,,United Kingdom,12/3/2010 15:42,3,12,2010,15
537019,37474,,-15,0,,United Kingdom,12/3/2010 15:43,3,12,2010,15
537020,21807,,-30,0,,United Kingdom,12/3/2010 15:43,3,12,2010,15
537021,21011,,-20,0,,United Kingdom,12/3/2010 15:43,3,12,2010,15
